document_id	title	publish_date	session	authors	views	depth	full_reads_percent	ctr
621a39ba9a79472784f029d4	Какие места на Украине взяли под контроль российские военные. Карта	2022-03-23 11:29:10	QGhF9EXPR0aUGgop3UoSxg	[]	616365	1.24	23.667	5.907
626aa2499a79478691200578	"В России оценили инициативу Байдена изымать активы российских бизнесменов
                
                                                    

    

    Политика, 17:58"	2022-04-28 14:58:07	Ref07c4BSDOyLxn3pENGRg	['5a8d11a39a7947c5e1550980']	10145	1.05	34.835	0.0
6264c5db9a79470db75a3e91	Bloomberg узнал о планах ФРГ нарастить займы до €140 млрд из-за санкций	2022-04-24 04:06:29	Dg8Mc_DoTV6c0hik47bjVQ	['5e1ddee09a7947609de2f69b']	16916	1.07	35.889	1.74
6263f5279a7947657e1796a7	Bloomberg узнал о планах США ввести санкции против Абрамовича	2022-04-23 13:11:09	V_SsaXpVT1S-UYwxlvvc7A	['5a8d11a39a7947c5e1550980']	11874	1.06	27.851	2.924
6210e19d9a7947ed1ab8f223	"Лавров заявил Ле Дриану об отсутствии прогресса по Донбассу
                
                                                    

    

    Политика, 16:46"	2022-02-19 13:46:11	uxm07DqbTP60j4iaffdjPQ	[]	47841	1.204	39.638	0.0
620d62419a79473729ba759f	Росстат показал изменение цен на овощи из «борщевого набора» за пять лет	2022-02-16 21:09:23	ITVbBXGcSgeF3E3PAFHdcA	['5edf68259a79470758e7ab2d']	18450	1.172	40.407	2.383
61fcfdd89a79475b69776008	"Переговоры Путина и Си Цзиньпина в Пекине продлились три часа
                
                                                    

    

    Политика, 13:28"	2022-02-04 10:28:09	8viI5ZklRjSegJ2ApIIT4A	[]	10638	1.192	53.459	0.0
62751aad9a7947810e1621d2	ЦБ назвал четыре популярные схемы по хищению денег у граждан	2022-05-06 14:55:13	lW2u6ohrSBWxRlQWtwdCNA	['5bf2cdb19a7947e0aa3f5fa8']	17530	1.058	16.823	4.61
625ec0749a794734ff9989c3	"Решетников заявил, что экономика России выдержала «первый удар» санкций
                
                                                    

    

    Экономика, 17:35"	2022-04-19 14:35:49	PF7D5dNhS0mzt6ngv_L7hA	[]	3687	1.082	40.521	0.0
620dd6ce9a794753a204be5c	"Четыре человека погибли при столкновении пяти автомобилей в Кемерово
                
                                                    

    

    Общество, 08:36"	2022-02-17 05:36:37	4yNGv24FQPyyvtHKEof2fQ	[]	2788	1.123	38.63	0.0
623826f19a794740b8f0c974	Большинство жителей Грузии поддержали отказ от санкций против России	2022-03-21 08:33:12	ZaTYqt5ISfG0CquehireDw	['5a9fa2e39a79470cd086f61a']	90586	1.075	26.119	2.936
62625c589a7947e886db1f07	"Туроператоры напомнили о правилах въезда в Турцию
                
                                                    

    

    Общество, 11:33"	2022-04-22 08:33:18	SdsIlQOHQ8OCoF3hLCG8zg	['606dbb339a7947bd8e80a947']	10666	1.081	24.93	0.0
6256a71e9a79472ec2f8ffb2	"В Москве на выходных выпадет треть месячной нормы осадков
                
                                                    

    

    Общество, 14:08"	2022-04-13 11:08:28	NmK2F76VQI-ORx9cETrOpw	[]	4779	1.073	39.213	0.0
625a01949a79476553ccf08e	CNN узнал о прогнозе США, что конфликт на Украине продлится до конца года	2022-04-16 00:01:34	oZzAO1i2QDeokza1UL3voA	['604f2c199a79478ec0029eae']	12996	1.047	29.694	4.102
626105df9a79476ecf1fb072	"Белоруссия разрешит въезд фурам из ЕС с гуманитарными грузами
                
                                                    

    

    Политика, 11:04"	2022-04-21 08:04:27	AAVmodIvT-2HOCZDQhlcQA	['61309cc39a7947257ab1d378']	2627	1.069	47.012	0.0
620765429a7947b81c9b220c	«РИА Новости» сообщило о начале отъезда дипломатов России с Украины	2022-02-12 07:45:13	w93cxONeQvuH2xpzkZIPjA	['5edf68259a79470758e7ab2d']	104067	1.151	34.218	4.874
626946869a79470bb4ec0b31	Путин объяснил спецоперацию упреждением конфликта «по чужим сценариям»	2022-04-27 13:42:07	fxQVTX88TVi_3PxeFb1Xag	[]	12403	1.074	43.973	6.438
